file,artist,title,lyrics
output/rdf/genius/lyrics_The%20Beatles_Boys.ttl,The Beatles,Boys,"[Verse 1]
I been told when a boy kiss a girl
Take a trip around the world
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)
Alright, George!

[Guitar Solo]
[Verse 2]
My girl says when I kiss her lips
Gets a thrill through her fingertips
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop, m'bop bop shuop)
Hey, hey (Bop shuop)
Yeah, she say you do (Bop shuop)

[Chorus]
Well, I talk about boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
Aaah, boys (Yeah, yeah, boys)
Well, I talk about boys, now (Yeah, yeah, boys)
What a bundle of joy! (Yeah, yeah, boys)

[Outro]
Oh, oh, ah yeah boys (Yeah, yeah, boys)
Don't ya know I mean boys? (Yeah, yeah, boys)
Ooh, boys (Yeah, yeah, boys)
Ah ha (Yeah, yeah, boys)
Well, I talk about boys now (Yeah, yeah, boys)3EmbedShare URLCopyEmbedCopy"
output/rdf/genius/lyrics_The%20Beatles_I%20Need%20You.ttl,The Beatles,I Need You,"[Verse 1]
You don't realize how much I need you
Love you all the time and never leave you
Please come on back to me
I'm lonely as can be
I need you

[Verse 2]
Said you had a thing or two to tell me
How was I to know you would upset me?
I didn't realize as I looked in your eyes
You told me

[Bridge]
Oh yes, you told me, you don't want my lovin' anymore
That's when it hurt me and feeling like this I just can't go on anymore

[Verse 3]
Please remember how I feel about you
I could never really live without you
So, come on back and see just what you mean to me. I need you

[Bridge]
But when you told me, you don't want my lovin' anymore
That's when it hurt me and feeling like this, I just can't go on anymore

[Verse 3]
Please remember how I feel about you
I could never really live without you
So, come on back and see just what you mean to me. I need you
I need you
I need you"
output/rdf/genius/lyrics_Lost%20Your%20Head%20Blues_Bessie%20Smith.ttl,Bessie Smith,Lost Your Head Blues,"[Verse 1]
I was with you, baby, when you didn't have a dime
I was with you, baby, when you didn't have a dime
Now since you got plenty money, you have thrown two good gals down

[Verse 2]
Once ain't for always and two ain't for twice
Once ain't for always and two ain't for twice
When you get a good gal, you'd better treat her nice

[Verse 3]
When you were lonesome, I treated you kind
When you were lonesome, I treated you kind
But since you've got money, it has changed your mind

[Verse 4]
I'm goin' to leave you, baby, and I ain't goin' to say goodbye
I'm goin' to leave you, baby, and I ain't goin' to say goodbye
But I'll write you a letter and tell you the reason why

[Verse 5]
Days are lonesome, nights are so long
Days are lonesome, nights are so long
I'm a good gal, but I just been treated wrongEmbedShare URLCopyEmbedCopy"
output/rdf/genius/lyrics_The%20Man%20I%20Love_Coleman%20Hawkins%20Quartet.ttl,The Last Poets,Bird’s Word,"Everything was silent
And then Ma Rainey spread Black News
By way of the Backwater Blues
As Bessie Smith picked up on it
And spread the word, thru music and song
Then the message passed on
To Chick Webb, King Oliver, Buddy Bolden and Jelly Roll Morton
And they played the word and passed it along to Louis Armstrong
Fats Navarro, Charlie Ventura, Roy Eldridge and Fats Waller
Who was known to holler
The joint is jumpin with a Fatman's joy
As everybody started Stompin' at the Savoy
Then the word grew strong, as the immortal Bird came along
And blew all the Blackness that was true
With some Be-Bop brand new
Turning everybody on, with his unforgettable horn
As Lester Young became the first Prez of our race
And we turned around and dug on the beautiful face of Billie Holiday
As Billie began to sing praises to the blackman's thing
The good Brother Monk threw in some funk
So that the whole world could see
What he is, was and always will be
A genius creatively!
Then Miles began to set new styles
That put us miles ahead
As Dizzy set us free to be ourselves
And ride to heaven from hell in the latest
El-Do-Ra-Do, comin' far to carry us home!
Then Dinah sang finer
As Duke and Ella rode to fame
Goin' to Harlem on the A train
And we tuned into Charlie Mingus's bass
Setting a soulful pace
That let us taste the down sound
That found our hearts beating to the voice and drums
Of Abbey Lincoln and Max Roach
In their hip approach to Blackness!
Then Eddie Jefferson crooned an original tune
As Lambert, Hendricks and Ross scatted a new course
And we sampled King Pleasure's treasure
And listened to James Moody's moans
And then dug the dynamite drums of Brother Philly Joe Jones!
As Milt Jackson played the vibes in leaps and strides
